reservoir_name,district_name,district_code,cwms_code,res_centroid_lat,res_centroid_lon,dam_lat,dam_lon,surface_area_acres,nidid
Two Rivers Reservoir,Albuquerque District,SPA,TWOR,33.2803342860529,-104.74613976402907,33.29893513,-104.72460721,1.0,NM00004
Santa Rosa Reservoir,Albuquerque District,SPA,SANR,35.049293722444645,-104.66473214383517,35.028332,-104.6883,16670.0,NM00158
Conchas Reservoir,Albuquerque District,SPA,CONC,35.4198839001781,-104.22763643167026,35.40269945,-104.19049598,2694.0,NM00006
Cochiti Reservoir,Albuquerque District,SPA,COCH,35.6547583091696,-106.30802563631161,35.61657592,-106.3178358,1200.0,NM00404
Abiquiu Reservoir,Albuquerque District,SPA,ABIQ,36.26745122593998,-106.47353030084113,,,,NM 00001
Trinidad Reservoir,Albuquerque District,SPA,TRIN,37.13664181633189,-104.57459682186594,37.14285508,-104.55161374,1442.0,CO00050
John Martin Reservoir,Albuquerque District,SPA,JOHNM,38.07295808859769,-103.02519174615996,38.0696437,-102.93814297,11590.0,CO01283
Jemez Canyon Reservoir,Albuquerque District,SPA,JEME,35.402997287521046,-106.58330153191,35.42483,-106.61668,,NM00003
Galisteo Reservoir,Albuquerque District,SPA,GALI,35.46138515842088,-106.18852805569038,35.46392106,-106.20841318,1.0,NM00002
Aquilla Lake,Fort Worth District,SWF,AQUI,31.92756706294643,-97.20404436864906,31.89824608,-97.20519598,3280.0,TX08004
Hords Creek Lake,Fort Worth District,SWF,HORD,31.835842730917463,-99.57365701306442,31.83451281,-99.56007376,510.0,TX00006
O. C. Fisher Lake,Fort Worth District,SWF,FISH,31.4889262164622,-100.49655809137751,31.48432569,-100.48189832,5400.0,TX00012
Whitney Lake,Fort Worth District,SWF,WHIT,31.980042622957832,-97.42177417705396,31.86764781,-97.37049823,23560.0,TX00017
Waco Lake,Fort Worth District,SWF,WACO,31.567009129887957,-97.23826595894108,31.59189131,-97.21143043,7270.0,TX00016
Navarro Mills Lake,Fort Worth District,SWF,NAVA,31.94933160092811,-96.74744937675936,31.95395578,-96.69517014,5070.0,TX00009
Proctor Lake,Fort Worth District,SWF,PROC,31.997117368205895,-98.49914368247505,31.96919634,-98.48558065,4610.0,TX00010
Sam Rayburn Reservoir,Fort Worth District,SWF,SAMR,31.217558820824436,-94.25154433381773,31.06445615,-94.09252964,114500.0,TX00011
Steinhagen Lake,Fort Worth District,SWF,STEI,30.85035602600907,-94.19486330976973,30.79991645,-94.1730835,14700.0,TX00015
Jim Chapman Lake,Fort Worth District,SWF,CHAP,33.309518412982605,-95.69741253852486,33.33187704,-95.62789835,19280.0,TX08012
Lake O' The Pines,Fort Worth District,SWF,OPIN,32.80019364006754,-94.60914520612337,32.7499904,-94.50439743,18700.0,TX00020
